iter	Passed	Remaining
407	5175	7509
408	5188	7497
409	5197	7478
410	5207	7462
411	5220	7449
412	5228	7431
413	5242	7420
414	5256	7409
415	5268	7396
416	5277	7377
417	5288	7363
418	5299	7347
419	5307	7329
420	5320	7317
421	5331	7303
422	5339	7283
423	5352	7270
424	5360	7252
425	5371	7237
426	5382	7223
427	5390	7204
428	5402	7190
429	5412	7175
430	5421	7157
431	5433	7143
432	5442	7127
433	5453	7112
434	5465	7099
435	5473	7081
436	5486	7068
437	5500	7057
438	5511	7042
439	5521	7026
440	5532	7013
441	5545	7000
442	5553	6983
443	5565	6969
444	5573	6951
445	5583	6935
446	5592	6918
447	5599	6899
448	5608	6882
449	5616	6864
450	5624	6846
451	5632	6829
452	5641	6811
453	5649	6793
454	5657	6776
455	5665	6759
456	5674	6741
457	5682	6724
458	5692	6708
459	5701	6692
460	5709	6675
461	5717	6658
462	5725	6640
463	5734	6623
464	5743	6608
465	5751	6590
466	5759	6573
467	5767	6555
468	5775	6539
469	5783	6522
470	5792	6505
471	5799	6488
472	5808	6471
473	5817	6455
474	5825	6438
475	5833	6421
476	5841	6405
477	5850	6388
478	5858	6371
479	5866	6355
480	5874	6338
481	5881	6321
482	5889	6304
483	5897	6287
484	5905	6270
485	5913	6253
486	5920	6237
487	5928	6220
488	5936	6203
489	5945	6187
490	5953	6171
491	5961	6154
492	5968	6138
493	5978	6123
494	5986	6106
495	5993	6090
496	6001	6074
497	6009	6057
498	6018	6042
499	6025	6025
500	6034	6010
501	6042	5993
502	6050	5978
503	6057	5961
504	6066	5945
505	6073	5929
506	6083	5915
507	6091	5899
508	6099	5883
509	6107	5867
510	6116	5852
511	6124	5837
512	6133	5822
513	6141	5807
514	6150	5791
515	6158	5776
516	6166	5760
517	6174	5745
518	6182	5729
519	6190	5714
520	6198	5699
521	6206	5683
522	6214	5667
523	6222	5652
524	6230	5636
525	6240	5623
526	6248	5607
527	6256	5592
528	6264	5577
529	6271	5561
530	6279	5546
531	6287	5531
532	6295	5515
533	6303	5500
534	6311	5485
535	6318	5470
536	6327	5455
537	6335	5440
538	6343	5425
539	6351	5410
540	6359	5395
541	6367	5380
542	6377	5367
543	6385	5352
544	6393	5337
545	6401	5322
546	6409	5308
547	6417	5293
548	6426	5279
549	6434	5264
550	6442	5250
551	6450	5235
552	6459	5221
553	6467	5206
554	6475	5192
555	6483	5177
556	6491	5162
557	6499	5148
558	6507	5133
559	6514	5118
560	6523	5104
561	6530	5089
562	6539	5075
563	6547	5061
564	6555	5047
565	6563	5032
566	6572	5019
567	6580	5004
568	6589	4991
569	6597	4977
570	6606	4963
571	6614	4949
572	6622	4935
573	6631	4921
574	6641	4908
575	6649	4894
576	6658	4881
577	6667	4867
578	6676	4854
579	6685	4841
580	6696	4829
581	6708	4818
582	6719	4805
583	6729	4793
584	6740	4781
585	6748	4767
586	6759	4755
587	6770	4744
588	6779	4730
589	6792	4720
590	6802	4707
591	6811	4694
592	6822	4682
593	6830	4668
594	6842	4657
595	6853	4645
596	6863	4632
597	6875	4621
598	6886	4610
599	6895	4597
600	6907	4586
601	6917	4573
602	6927	4560
603	6939	4549
604	6948	4536
605	6959	4525
606	6972	4514
607	6981	4501
608	6992	4489
609	7005	4478
610	7013	4465
611	7024	4453
612	7037	4442
613	7046	4429
614	7056	4417
615	7069	4407
616	7080	4394
617	7090	4382
618	7104	4372
619	7115	4361
620	7124	4347
621	7135	4336
622	7143	4322
623	7152	4309
624	7160	4296
625	7169	4283
626	7178	4270
627	7186	4256
628	7194	4243
629	7202	4230
630	7212	4217
631	7220	4204
632	7229	4191
633	7237	4177
634	7246	4165
635	7256	4152
636	7266	4141
637	7276	4128
638	7287	4116
639	7301	4107
640	7314	4096
641	7324	4084
642	7336	4073
643	7350	4063
644	7360	4051
645	7369	4038
646	7381	4027
647	7390	4014
648	7401	4003
649	7414	3992
650	7424	3980
651	7435	3968
652	7448	3957
653	7461	3947
654	7470	3934
655	7482	3923
656	7496	3913
657	7506	3901
658	7517	3889
659	7530	3879
660	7539	3866
661	7550	3854
662	7563	3844
663	7575	3833
664	7584	3820
665	7597	3810
666	7609	3798
667	7617	3786
668	7630	3775
669	7642	3764
670	7651	3751
671	7663	3740
672	7676	3729
673	7685	3717
674	7697	3706
675	7710	3695
676	7720	3683
677	7729	3670
678	7741	3659
679	7751	3647
680	7761	3635
681	7774	3625
682	7784	3613
683	7794	3601
684	7807	3590
685	7817	3578
686	7827	3566
687	7840	3555
688	7850	3543
689	7860	3531
690	7873	3520
691	7882	3508
692	7892	3496
693	7905	3485
694	7914	3473
695	7924	3461
696	7938	3451
697	7949	3439
698	7959	3427
699	7971	3416
700	7984	3405
701	7993	3393
702	8004	3381
703	8018	3371
704	8027	3359
705	8038	3347
706	8050	3336
707	8058	3323
708	8070	3312
709	8082	3301
710	8091	3288
711	8102	3277
712	8115	3266
713	8125	3254
714	8137	3243
715	8150	3232
716	8161	3221
717	8171	3209
718	8184	3198
719	8196	3187
720	8206	3175
721	8219	3164
722	8231	3153
723	8240	3141
724	8249	3128
725	8259	3117
726	8268	3104
727	8280	3093
728	8293	3082
729	8301	3070
730	8315	3060
731	8328	3049
732	8338	3037
733	8350	3026
734	8363	3015
735	8375	3004
736	8383	2991
737	8396	2980
738	8407	2969
739	8416	2957
740	8429	2946
741	8443	2935
742	8453	2924
743	8464	2912
744	8477	2901
745	8487	2889
746	8498	2878
747	8510	2867
748	8520	2855
749	8531	2843
750	8543	2832
751	8552	2820
752	8563	2809
753	8576	2798
754	8586	2786
755	8596	2774
756	8609	2763
757	8622	2752
758	8631	2740
759	8643	2729
760	8655	2718
761	8664	2706
762	8676	2695
763	8689	2684
764	8699	2672
765	8710	2660
766	8723	2649
767	8736	2639
768	8745	2627
769	8759	2616
770	8773	2605
771	8787	2595
772	8798	2583
773	8811	2572
774	8823	2561
775	8837	2551
776	8851	2540
777	8861	2528
778	8873	2517
779	8885	2506
780	8895	2494
781	8906	2482
782	8918	2471
783	8932	2460
784	8942	2449
785	8953	2437
786	8965	2426
787	8974	2414
788	8985	2402
789	8996	2391
790	9006	2379
791	9019	2368
792	9034	2358
793	9048	2347
